npi,specialty_description,total_claim_count,total_30_day_fill_count,total_drug_cost,total_day_supply,bene_count,brand_claim_count,brand_drug_cost,generic_claim_count,generic_drug_cost,opioid_claim_count,opioid_drug_cost,opioid_prescriber_rate,average_age_of_beneficiaries,beneficiary_female_count,beneficiary_male_count,beneficiary_race_white_count,beneficiary_race_black_count,beneficiary_race_asian_pi_count,beneficiary_race_hispanic_count,beneficiary_race_nat_ind_count,beneficiary_race_other_count,beneficiary_average_risk_score
1003000126,Internal Medicine,545,563.4,33618.18,12120,170.0,,,414.0,5713.68,23.0,336.77,4.22,71.0,90.0,80.0,153.0,,0.0,,0.0,,2.195
1003000407,Family Practice,2225,2238.5,112183.11,45674,190.0,606.0,85782.84,1605.0,25690.01,17.0,528.29,0.76,79.0,126.0,64.0,,,0.0,0.0,0.0,,1.9105
1003000522,Family Practice,5189,11105.7,290256.7,324707,429.0,688.0,192126.75,4478.0,97262.98,183.0,4850.7,3.53,75.0,240.0,189.0,375.0,,,34.0,0.0,,1.1778
1003000530,Internal Medicine,7047,10804.8,347024.06,313069,472.0,992.0,227703.27,6002.0,117454.66,257.0,11995.04,3.65,72.0,286.0,186.0,453.0,,,,0.0,,1.2259
1003000902,Family Practice,6185,10050.1,317866.0,290559,340.0,1063.0,224475.13,5062.0,91320.85,145.0,1440.43,2.34,64.0,247.0,93.0,306.0,22.0,,,0.0,,1.3653
1003000936,Internal Medicine,2176,3393.9,174783.53,100731,270.0,456.0,144559.73,1720.0,30223.8,14.0,94.75,0.64,72.0,129.0,141.0,195.0,,,,0.0,,1.6615
1003001132,Family Practice,152,412.0,8169.41,12169,34.0,11.0,4718.48,141.0,3450.93,0.0,0.0,0.0,76.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.1159
1003001256,Family Practice,238,452.6,15795.14,12272,86.0,,,195.0,6115.53,26.0,811.64,10.92,63.0,59.0,27.0,43.0,24.0,,,0.0,,1.7990000000000002
1003001793,Internal Medicine,13,35.0,300.14,1008,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003001884,Family Practice,2857,6034.5,171924.09,174012,312.0,461.0,117570.72,2366.0,53477.31,50.0,347.94,1.75,73.0,265.0,47.0,267.0,32.0,,,0.0,,1.2258
1003002106,Psychiatry,114,124.1,3579.62,3674,28.0,,,,,,,,65.0,15.0,13.0,,,0.0,,0.0,,1.6164
1003002379,Internal Medicine,77,77.0,6605.95,1601,14.0,27.0,5922.75,50.0,683.2,,,,64.0,,,,0.0,0.0,,0.0,0.0,4.7829
1003002510,General Practice,62,90.1,1679.73,2170,32.0,,,,,,,,65.0,,,,,0.0,0.0,0.0,0.0,0.9959
1003002817,Family Practice,19354,21542.6,1585144.23,628019,453.0,4970.0,1251157.78,14123.0,328234.74,111.0,695.63,0.57,73.0,290.0,163.0,27.0,,,414.0,0.0,,1.6024
1003002841,Neurology,80,120.5,26747.1,3605,38.0,16.0,24711.02,64.0,2036.08,0.0,0.0,0.0,70.0,25.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,1.5526
1003003070,Neurology,452,533.3,34687.51,15675,92.0,62.0,28698.79,390.0,5988.72,,,,73.0,54.0,38.0,,,0.0,,0.0,,1.7686
1003003856,Family Practice,2906,7288.0,235508.11,213445,242.0,,,2355.0,76208.77,30.0,478.39,1.03,74.0,170.0,72.0,210.0,,,13.0,0.0,,1.1549
1003004128,Internal Medicine,137,148.0,18021.74,3486,42.0,34.0,16566.61,91.0,1047.23,,,,72.0,22.0,20.0,,,0.0,,0.0,,1.7842
1003004136,Family Practice,28,74.0,209.92,2132,,0.0,0.0,28.0,209.92,0.0,0.0,0.0,,,,,,,,,,
1003004201,Internal Medicine,1049,1440.5,56113.79,40335,151.0,182.0,38988.28,867.0,17125.51,38.0,620.63,3.62,70.0,107.0,44.0,91.0,,,,0.0,,1.2368
1003004839,Internal Medicine,3250,7654.9,167880.05,222705,292.0,797.0,96707.01,2422.0,70543.99,101.0,3048.13,3.11,74.0,186.0,106.0,170.0,50.0,,44.0,0.0,,1.0153
1003005661,General Practice,1983,2017.9,111763.81,54550,130.0,462.0,87612.92,1508.0,23740.46,14.0,69.59,0.71,63.0,66.0,64.0,,118.0,,,0.0,,1.5424
1003005679,Family Practice,1039,1684.0,87092.46,48099,32.0,200.0,60789.5,808.0,24290.63,27.0,66.26,2.6,75.0,20.0,12.0,0.0,,0.0,0.0,,0.0,1.7402
1003005836,Internal Medicine,1626,2784.6,105050.01,79831,219.0,316.0,71761.49,1273.0,31803.56,93.0,1984.29,5.72,71.0,153.0,66.0,187.0,14.0,,,,,1.6102
1003006172,Internal Medicine,645,652.8,1001783.88,14652,104.0,337.0,977409.34,308.0,24374.54,,,,63.0,46.0,58.0,68.0,16.0,,,,0.0,2.8178
1003006198,Neurology,830,1024.3,89063.7,29453,122.0,,,749.0,26494.68,,,,71.0,71.0,51.0,26.0,,64.0,,0.0,20.0,1.5482
1003006503,Internal Medicine,2029,3265.4,141899.81,92775,165.0,364.0,94104.38,1624.0,46443.01,153.0,2572.96,7.54,59.0,96.0,69.0,35.0,117.0,,,0.0,,1.8575
1003006552,Family Practice,8332,18736.6,572965.08,545096,553.0,1040.0,414631.56,7222.0,154314.6,472.0,16333.56,5.66,70.0,279.0,274.0,411.0,,,92.0,0.0,,1.556
1003006586,Internal Medicine,262,266.3,13486.21,4729,108.0,69.0,10780.46,193.0,2705.75,20.0,186.76,7.63,77.0,65.0,43.0,77.0,16.0,,,0.0,,2.5121
1003006701,Psychiatry,1500,1559.0,74885.44,41972,257.0,129.0,44226.68,1371.0,30658.76,,,,54.0,151.0,106.0,208.0,26.0,,,,,1.4109
1003006990,General Practice,277,418.1,18482.37,11585,76.0,,,220.0,3109.84,,,,66.0,34.0,42.0,,14.0,,49.0,0.0,,1.2963
1003007022,Internal Medicine,232,248.4,18006.79,6247,74.0,35.0,13689.03,197.0,4317.76,16.0,115.77,6.9,66.0,40.0,34.0,,40.0,,,0.0,,3.0867
1003007048,Family Practice,4440,8732.7,819172.83,253968,312.0,1699.0,749577.76,2645.0,63388.2,25.0,765.84,0.56,71.0,143.0,169.0,263.0,13.0,,20.0,0.0,,1.0825
1003007287,Internal Medicine,2077,3652.4,86678.02,107699,117.0,293.0,54336.45,1784.0,32341.57,73.0,803.93,3.51,71.0,91.0,26.0,87.0,,,,,,1.1265
1003007295,Family Practice,409,619.0,21349.1,17055,55.0,56.0,15270.18,353.0,6078.92,12.0,130.18,2.93,68.0,38.0,17.0,25.0,,0.0,,0.0,0.0,1.3922
1003007345,Psychiatry,13049,13565.0,962442.33,379506,436.0,,,12201.0,538460.08,,,,56.0,188.0,248.0,294.0,116.0,,,,,1.6446
1003007741,Family Practice,193,248.0,5834.97,6977,,39.0,2138.11,154.0,3696.86,0.0,0.0,0.0,,,,,,,,,,
1003007824,Internal Medicine,3315,3562.3,2483659.62,104380,184.0,1271.0,2441063.2,2009.0,41751.42,49.0,895.16,1.48,58.0,72.0,112.0,,123.0,,,0.0,,1.589
1003007998,Family Practice,2536,3593.3,154966.14,101768,183.0,473.0,119784.43,2042.0,34309.02,54.0,2739.33,2.13,62.0,111.0,72.0,74.0,92.0,,,0.0,,1.1593
1003008533,Neurology,2357,2879.1,718871.29,82799,293.0,383.0,658626.41,1960.0,59286.09,37.0,708.53,1.57,70.0,162.0,131.0,243.0,,,32.0,,,1.5905
1003008590,Internal Medicine,351,400.3,22589.57,8495,165.0,,,276.0,9239.3,18.0,243.41,5.13,73.0,86.0,79.0,112.0,,,29.0,,,2.9657
1003008699,Internal Medicine,619,1459.8,68391.64,43335,91.0,,,477.0,11892.02,,,,71.0,58.0,33.0,59.0,,,,,,1.2023
1003009119,Family Practice,2103,4074.6,148041.2,116381,164.0,410.0,101901.35,1680.0,45421.07,55.0,3336.12,2.62,72.0,94.0,70.0,152.0,0.0,0.0,,0.0,,0.9212
1003009218,Family Practice,18041,20808.2,1007686.94,594375,518.0,3308.0,748926.75,14503.0,251827.68,1698.0,69082.73,9.41,63.0,312.0,206.0,445.0,,0.0,,0.0,,1.3231
1003009705,Family Practice,429,744.9,30564.89,20831,98.0,,,343.0,12671.24,16.0,182.91,3.73,69.0,62.0,36.0,76.0,,,,0.0,,1.016
1003009853,Family Practice,10980,14961.9,514245.19,429808,563.0,2100.0,377251.89,8772.0,132049.99,770.0,18921.3,7.01,69.0,344.0,219.0,538.0,,,,0.0,,1.3885
1003010117,Internal Medicine,6576,11822.2,380815.89,341391,588.0,906.0,241636.03,5625.0,137769.73,877.0,36303.44,13.34,72.0,330.0,258.0,566.0,0.0,0.0,,,,0.9767
